643,Patanjali,Patanjali Karela Amla Juice,500 ml,75,https://rukminim1.flixcart.com/image/280/280/ji4vmvk0-1/drinks-juice/v/h/w/500-karela-amla-juice-carton-patanjali-original-imaf6y9qvjm8tfkq.jpeg?q=70
643,Raw Pressery,Raw Pressery Coconut Water,Buy 4 or more units save 31%,54,https://rukminim1.flixcart.com/image/280/280/k3q76a80/drinks-juice/p/g/3/200-coconut-water-plastic-bottle-raw-pressery-original-imafmsg4ced5gdvh.jpeg?q=70
643,Raw Pressery,Raw Pressery Trim,250 ml,120,https://rukminim1.flixcart.com/image/280/280/jlfh6kw0/drinks-juice/h/f/d/250-trim-plastic-bottle-raw-pressery-original-imaf8kkhbwys28yq.jpeg?q=70
643,Raw Pressery,Raw Pressery Valencia Orange,1 L,270,https://rukminim1.flixcart.com/image/280/280/jlfh6kw0/drinks-juice/j/q/9/1-valencia-orange-plastic-bottle-raw-pressery-original-imaf8kkhwnnfghfs.jpeg?q=70
643,Raw Pressery,Raw Pressery Lean,250 ml,120,https://rukminim1.flixcart.com/image/280/280/jvzkb680/drinks-juice/x/e/j/250-lean-glass-bottle-raw-pressery-original-imafgrmx3ydgmzed.jpeg?q=70
643,Raw Pressery,Raw Pressery Life,250 ml,120,https://rukminim1.flixcart.com/image/280/280/jlb6v0w0/drinks-juice/2/k/h/250-life-plastic-bottle-raw-pressery-original-imaf8h9mz64vsg9g.jpeg?q=70
643,Raw Pressery,Raw Pressery Sugarcane,1 L,140,https://rukminim1.flixcart.com/image/280/280/jlfh6kw0/drinks-juice/h/z/f/1-sugarcane-plastic-bottle-raw-pressery-original-imaf8kkh6agampjh.jpeg?q=70
643,Raw Pressery,Raw Pressery Flush,250 ml,120,https://rukminim1.flixcart.com/image/280/280/jvzkb680/drinks-juice/g/c/m/250-flush-glass-bottle-raw-pressery-original-imafgrmx3kzer6sv.jpeg?q=70
643,Raw Pressery,Raw Pressery Pomegranate,250 ml,120,https://rukminim1.flixcart.com/image/280/280/jlfh6kw0/drinks-juice/y/c/h/250-pomegranate-plastic-bottle-raw-pressery-original-imaf8kkh8gze2wqv.jpeg?q=70
643,Raw Pressery,Raw Pressery Mango Plus Sugarcane,200 ml,60,https://rukminim1.flixcart.com/image/280/280/k9x3v680/drinks-juice/h/k/q/200-mango-100-natural-cold-pressed-juice-plastic-bottle-raw-original-imafrht4zt3kdhh8.jpeg?q=70
